"package","version"
"broom","0.7.10"
"cli","3.1.0"
"crayon","1.4.2"
"dbplyr","2.1.1"
"dplyr","1.0.7"
"dtplyr","1.2.0"
"forcats","0.5.1"
"ggplot2","3.3.5"
"googledrive","2.0.0"
"googlesheets4","1.0.0"
"haven","2.4.3"
"hms","1.1.1"
"httr","1.4.2"
"jsonlite","1.7.2"
"lubridate","1.8.0"
"magrittr","2.0.1"
"modelr","0.1.8"
"pillar","1.6.4"
"purrr","0.3.4"
"readr","2.1.1"
"readxl","1.3.1"
"reprex","2.0.1"
"rlang","0.4.12"
"rstudioapi","0.13"
"rvest","1.0.2"
"stringr","1.4.0"
"tibble","3.1.6"
"tidyr","1.1.4"
"xml2","1.3.3"
